Jahr;Weizen;Gerste;"Körnermais 
inkl. CCM";Kartoffeln;Zuckerrüben;"Raps und 
Rübsen";Sojabohnen;Land
1975;945188;1006242;980532;1578687;3134492;5524;;Österreich
1976;1233520;1286583;936428;1746023;2583342;4403;;Österreich
1977;1071848;1211734;1159413;1352246;2720930;4867;;Österreich
1978;1194808;1423602;1165640;1400892;1884677;6275;;Österreich
1979;849921;1128714;1346655;1493706;2145173;3011;;Österreich
1980;1200599;1514491;1292745;1263922;2587292;8361;;Österreich
1981;1025011;1219816;1374386;1309779;3006924;9876;;Österreich
1982;1236355;1436543;1550775;1120676;3510487;9003;;Österreich
1983;1417365;1448917;1453703;1011511;2020308;11869;;Österreich
1984;1501005;1516981;1542072;1138097;2564487;12338;;Österreich
1985;1562776;1521408;1726693;1042196;2407406;17289;;Österreich
1986;1414599;1292450;1739740;982405;1570866;26842;;Österreich
1987;1450734;1178686;1685121;879497;2128322;65705;;Österreich
1988;1559993;1366424;1700444;1001044;1933706;86987;;Österreich
1989;1362951;1421645;1491310;845466;2640832;95552;;Österreich
1990;1404468;1520554;1620237;793536;2494366;101527;17658;Österreich
1991;1375253;1427045;1571361;789979;2521605;132875;36770;Österreich
1992;1325401;1342141;1118169;738256;2605408;132352;92284;Österreich
1993;1018013;1099646;1524487;885833;2993908;131396;125258;Österreich
1994;1255122;1184350;1420645;593720;2560583;217069;104946;Österreich
1995;1301445;1065188;1473661;724426;2885807;267596;31121;Österreich
1996;1239723;1082789;1735568;768974;3131307;120757;26763;Österreich
1997;1352281;1257800;1841678;676872;3011921;129084;33477;Österreich
1998;1341820;1211557;1646287;646915;3314143;128374;50457;Österreich
1999;1416200;1152801;1699583;711729;3216731;194265;50449;Österreich
2000;1312962;854667;1851651;694609;2633532;125353;32843;Österreich
2001;1508283;1012407;1771081;694602;2773478;146525;33875;Österreich
2002;1434208;861391;1955595;684321;3043398;128647;35329;Österreich
2003;1191380;882322;1707771;560340;2485386;77721;39465;Österreich
2004;1718825;1006742;1944882;693054;2901902;120815;44824;Österreich
2005;1453072;879628;2020955;763165;3132604;104303;60573;Österreich
2006;1396300;914052;1746185;654621;2493097;137303;64960;Österreich
2007;1399341;810980;1994698;668755;2656214;144706;52902;Österreich
2008;1689688;967921;2448538;756945;3091432;174592;54095;Österreich
2009;1523368;835107;2168838;722098;3083135;171073;71333;Österreich
2010;1517805;777961;1955989;671722;3131666;170584;94544;Österreich
2011;1781837;859375;2453133;816070;3456227;179669;109378;Österreich
2012;1275498;662466;2351370;665416;3114426;148869;104143;Österreich
2013;1597706;734051;1639019;604051;3465791;196828;82780;Österreich
2014;1804018;845705;2334385;750637;4244219;198286;118132;Österreich
2015;1725737;840433;1637905;536473;2853282;111745;136195;Österreich
2016;1970364;859702;2179587;767261;3534415;141893;152599;Österreich
2017;1437143;782029;2075983;653400;2993710;116835;193416;Österreich
2018;1370960;695072;2130339;697931;2150192;120690;184342;Österreich
2019;1604642;832970;2298882;751264;1965150;107171;215278;Österreich
2020;1659643;869920;2411926;885894;2091689;100284;202503;Österreich
2021;1528989;738240;2434896;769694;3017450;85922;235093;Österreich
2022;1685233;758299;2113955;686223;2709527;91032;245564;Österreich
